Total Game,Player Win,Dealer Win,Push,Player Winning Type,High Card,Dealer Bust,21,Dealer Winning Type,High Card,Player Bust,Money,Max Money
35,9,21,5,,3,3,3,,9,12,-50.00,1000.00
106,35,47,24,,17,4,14,,26,21,0.00,1250.00
1976,772,821,383,,306,78,388,,414,407,0.00,7300.00
5126,2124,2081,921,,863,254,1007,,984,1097,18000.00,18750.00
5125,2071,2075,979,,828,240,1003,,986,1089,12600.00,14700.00
5117,2101,2070,946,,877,228,996,,980,1090,15500.00,16800.00
406,156,173,77,,59,14,83,,89,84,0.00,3150.00
938,374,403,161,,149,37,188,,195,208,-50.00,3450.00
5145,2115,2073,957,,893,256,966,,1031,1042,18000.00,18200.00
5131,2104,2067,960,,887,231,986,,987,1080,16250.00,16500.00
65,21,33,11,,12,3,6,,16,17,-50.00,1450.00
